nct_id,brief_title,sponsor_name,phase,overall_status,start_date,completion_date,enrollment_count,interventions
NCT05950113,CART-BCMA/CS1 in Treating Patients With Relapsed or Refractory Multiple Myeloma,Jonsson Comprehensive Cancer Center,PHASE1,WITHDRAWN,2024-03-28,2028-03-28,0.0,Bone Marrow Aspiration; Bone Marrow Biopsy; Computed Tomography; Cyclophosphamide; Echocardiography; Fludarabine; Fludeoxyglucose F-18; Immunotherapy; Leukapheresis; Magnetic Resonance Imaging; Positron Emission Tomography
NCT04769713,Hepatic Hilar Nerve Block Versus Sham in Pain Control During Liver Ablation and TACE Procedures,McGill University Health Centre/Research Institute of the McGill University Health Centre,PHASE4,UNKNOWN,2021-11-23,2023-09-30,80.0,Hepatic Hilar Nerve Block Needle placement; Injection of Ropivacaine in the hepatic hilum for the hepatic hilar nerve block; Injection of normal saline in the hepatic hilum for the sham procedure
NCT00603460,DCVax-L Vaccination With CD3/CD28 Costimulated Autologous T-Cells for Recurrent Ovarian or Primary Peritoneal Cancer,University of Pennsylvania,PHASE1,WITHDRAWN,2012-01,2013-03,0.0,DCVax-L and T Cells
NCT00504660,"6-TG, Capecitabine and Celecoxib Plus TMZ or CCNU for Anaplastic Glioma Patients",M.D. Anderson Cancer Center,PHASE2,COMPLETED,2003-09,2010-08,75.0,Capecitabine; Celecoxib (Celebrex); Temozolomide; Lomustine; 6-Thioguanine
NCT03158220,Immunogenicity and Tolerability of Broad Spectrum Human Papillomavirus (HPV) Vaccine in Adult and Young Adult Women (V503-004),Merck Sharp & Dohme LLC,PHASE3,COMPLETED,2017-09-20,2018-11-19,1212.0,V503
NCT06511882,Discontinuation of Hypomethylating Agent and Venetoclax in Patients With AML MRD,H. Lee Moffitt Cancer Center and Research Institute,PHASE2,RECRUITING,2024-11-07,2028-08,37.0,Azacitidine; Decitabine; Venetoclax
NCT02370082,SAVI SCOUT Clinical Evaluation Study,"Cianna Medical, Inc.",NA,UNKNOWN,2015-02,2015-08,150.0,Localization of breast lesion
NCT00693082,Polycystic Ovarian Syndrome: Impact of Flaxseed Supplementation,Duke University,PHASE2,TERMINATED,2007-08,2009-06,4.0,flaxseed
NCT00448682,Combination Chemotherapy as First-Line Therapy in Treating Patients With Stage IV Gastric Cancer That Cannot Be Removed By Surgery,University of Miami,PHASE2,TERMINATED,2005-06,2010-03,25.0,Docetaxel; Floxuridine; Leucovorin; Oxaliplatin
NCT00026182,Rituximab and Interleukin-12 in Treating Patients With B-Cell Non-Hodgkin's Lymphoma,National Cancer Institute (NCI),PHASE2,COMPLETED,2001-10,,99.0,rituximab; recombinant interleukin-12; laboratory biomarker analysis; questionnaire administration; quality-of-life assessment
NCT02929082,Interest of elastoFRM With Force Measure by MRI on Patients With Hepatocellular Cancer,Assistance Publique - Hôpitaux de Paris,NA,COMPLETED,2018-01-23,2021-09-30,97.0,IRM with a 5-minute- additional sequence to measure FRM
NCT00813124,Azacitidine After Allo Blood And Marrow Transplantation (BMT) for Chronic Myelogenous Leukemia (CML),M.D. Anderson Cancer Center,PHASE2,COMPLETED,2008-12,2014-09,24.0,Fludarabine; Busulfan; Thymoglobulin; Azacitidine; Stem Cell Transplant
NCT01659424,Phase II Trial of Preoperative High-dose-rate Endorectal Brachytherapy and FOLFOX Chemotherapy for Rectal Cancer,Beth Israel Medical Center,PHASE2,WITHDRAWN,2011-06,2014-11,0.0,High Dose Rate Endorectal Brachytherapy (HDR-ERBT)
NCT04109924,"TAS-102, Irinotecan, and Bevacizumab for the Treatment of Pre-treated Metastatic or Unresectable Colorectal Cancer, the TABAsCO Study",Roswell Park Cancer Institute,PHASE2,COMPLETED,2019-12-27,2024-09-05,42.0,Irinotecan; Bevacizumab; Trifluridine and Tipiracil Hydrochloride
NCT04144023,A Vaccine (H2NVAC) Before Surgery for the Treatment of HER2-Expressing Ductal Carcinoma In Situ,Mayo Clinic,PHASE1,RECRUITING,2019-06-27,2027-12-31,43.0,Granulocyte-Macrophage Colony-Stimulating Factor; Multi-epitope HER2 Peptide Vaccine H2NVAC; Therapeutic Conventional Surgery; Echocardiography Test; Biospecimen Collection; Biopsy Procedure
NCT02712723,"Letrozole Plus Ribociclib or Placebo as Neo-adjuvant Therapy in ER-positive, HER2-negative Early Breast Cancer",Qamar Khan,PHASE2,ACTIVE_NOT_RECRUITING,2016-02,2026-12,121.0,Letrozole; Ribociclib; Placebo
NCT04295759,INCB7839 in Treating Children With Recurrent/Progressive High-Grade Gliomas,Pediatric Brain Tumor Consortium,PHASE1,COMPLETED,2020-07-27,2024-12-01,13.0,INCB7839
NCT02116959,Alternating Systemic Chemotherapy and Intra-Arterial Melphalan (IAM) Chemotherapy in Children With Intra-Ocular Retinoblastoma,"University of California, San Francisco",PHASE1,TERMINATED,2014-07-23,2019-05-25,6.0,Melphalan; Carboplatin; Etoposide; Vincristine
NCT07019259,Light Therapy for Chemotherapy Induced Peripheral Neuropathy in Childhood Cancer Survivors,Yale University,NA,RECRUITING,2025-06-30,2027-04,20.0,Anodyne Therapy System
NCT04540159,Immune Checkpoints in Intraabdominal Ascites Fluid,Istanbul Training and Research Hospital,N/A,COMPLETED,2022-01-01,2022-12-01,50.0,Flow-cytometric analysis
NCT06331559,Study of SIM0501 Alone and in Combination in Patients With Advanced Solid Tumors,"Jiangsu Simcere Pharmaceutical Co., Ltd.",PHASE1,TERMINATED,2024-03-19,2025-09-17,13.0,SIM0501 Tablets; SIM0501 Tablets; SIM0501 in combination with olaparib; SIM0501 in combination with olaparib
NCT04757259,Expanded Access Program for Participants Who Completed Study 13-601 and Continue to Clinically Benefit From Cerdulatinib,"Alexion Pharmaceuticals, Inc.",N/A,NO_LONGER_AVAILABLE,,,,cerdulatinib
NCT05563480,TQB2618 Injection Combined With Penpulimab Injection in the Treatment of Patients With Recurrent/Metastatic Nasopharyngeal Carcinoma,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",PHASE2,COMPLETED,2022-10-27,2025-05-28,47.0,"TQB2618 Injection, Pempulimab Injection, Cisplatin Injection, Gemcitabine Hydrochloride Injection; TQB2618 injection; Penpulimab injection"
NCT02421380,Characterization of Hyperpolarized Pyruvate MRI Reproducibility,Memorial Sloan Kettering Cancer Center,NA,RECRUITING,2015-04,2027-04,109.0,Hyperpolarized Pyruvate
NCT00167180,Post Transplant Donor Lymphocyte Infusion,"Masonic Cancer Center, University of Minnesota",PHASE2,TERMINATED,2004-01,2018-12-24,57.0,Donor Lymphocyte Infusion; Induction Chemotherapy
NCT00006480,Biological Therapy and Gene Therapy in Treating Children With Recurrent or Refractory Neuroblastoma,Fred Hutchinson Cancer Center,PHASE1,COMPLETED,2000-05,2005-03,,aldesleukin; therapeutic autologous lymphocytes; chemotherapy; ganciclovir
NCT07247279,Epidemiological Study of Treatment Approaches in AChR-Antibody Positive Generalized Myasthenia Gravis in Russia,AstraZeneca,N/A,RECRUITING,2025-12-23,2029-12-31,450.0,
NCT04229979,Galinpepimut-S Versus Investigator's Choice of Best Available Therapy for Maintenance in AML CR2/CRp2,Sellas Life Sciences Group,PHASE3,ACTIVE_NOT_RECRUITING,2021-02-08,2026-12,127.0,Galinpepimut-S; Azacitidine; Venetoclax; Decitabine; Cytarabine; Observation; GM-CSF; Montanide
NCT00058396,Monoclonal Antibody in Treating Patients With Relapsed or Refractory Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma,Memorial Sloan Kettering Cancer Center,PHASE1,COMPLETED,2002-10,,,lumiliximab
NCT05162196,The Efficacy and Safety of Radiotherapy Plus Niraparib and Toripalimab in Patients With Recurrent Small Cell Lung Cancer,Wuhan University,PHASE2,UNKNOWN,2022-06,2024-12,57.0,SBRT; Toripalimab; Niraparib
NCT01054196,Lenalidomide Plus Melphalan as a Preparative Regimen for Autologous Stem Cell Transplantation in Relapsed Multiple Myeloma: A Phase 1 / 2 Study,Weill Medical College of Cornell University,PHASE1,ACTIVE_NOT_RECRUITING,2010-08,2026-12,52.0,lenalidomide; melphalan
NCT02608346,Circulating Tumor DNA and Follow-up of BRCA1 Mutation Carriers (CirCa 01),Institut Curie,NA,COMPLETED,2014-11,2021-12-29,200.0,Blood sampling
NCT00397046,A Study Of The Safety And Tolerability Of HKI-272 Administered Orally To Japanese Subjects With Advanced Solid Tumors,"Puma Biotechnology, Inc.",PHASE1,COMPLETED,2006-11,2009-03,21.0,neratinib
NCT07534488,Sacral Erector Spinae Plane Block in Pilonidal Sinus Surgery,Medipol University,NA,RECRUITING,2026-04-20,2026-09-15,60.0,Sacral Erector Spinae Plane Block; Standard Postoperative Analgesia
NCT00002988,Irinotecan Plus Carmustine in Treating Patients With Recurrent Primary Malignant Glioma,Duke University,PHASE1,COMPLETED,1997-04,2000-11,36.0,carmustine; irinotecan hydrochloride
NCT05243888,Efficacy of Strategies Involving Self-sampling to Reach Women Not Participating in Regular Cervical Cancer Screening,Centre Regional de Coordination des Depistages des Cancer - Pays de la Loire,NA,ACTIVE_NOT_RECRUITING,2022-03-09,2025-03,15000.0,self-sampling
NCT06743503,UB-VV400 in Combination With Rapamycin in Relapsed or Refractory B-cell Malignancies,"Nanjing IASO Biotechnology Co., Ltd.",PHASE1,RECRUITING,2025-04-11,2030-07-31,70.0,UB-VV400; Rapamycin
NCT02592603,Endocuff for Surveillance of Serrated Polyposis Syndrome,Hospital Clinic of Barcelona,NA,COMPLETED,2015-10,2017-07,125.0,Endocuff-assisted Colonoscopy
NCT04839003,A Registry of AL Amyloidosis (ReAL),Fondazione IRCCS Policlinico San Matteo di Pavia,N/A,RECRUITING,2020-02-27,2027-05,5000.0,
NCT00723203,Panobinostat in Treating Patients With Relapsed or Refractory Acute Lymphoblastic Leukemia or Acute Myeloid Leukemia,City of Hope Medical Center,PHASE2,TERMINATED,2008-04,2010-09,16.0,panobinostat; gene expression analysis; reverse transcriptase-polymerase chain reaction; laboratory biomarker analysis
NCT00482703,A Study of Dasatinib in Chronic Phase Philadelphia Chromosome Positive Chronic Myeloid Leukemia,Bristol-Myers Squibb,PHASE1,COMPLETED,2007-05,2009-05,23.0,Dasatinib; dasatinib
NCT00705627,A Multicenter Trial Comparing Multi-course Chemotherapy in Locoregionally Advanced Nasopharyngeal Carcinoma,Sun Yat-sen University,PHASE3,UNKNOWN,2008-06,2017-06,400.0,neoadjuvant chemotherapy plus concurrent chemoradiotherapy
NCT00020527,Caspofungin Acetate in Treating Children With Fever and Neutropenia,National Cancer Institute (NCI),NA,COMPLETED,2001-03,2003-06,,caspofungin acetate
NCT00651261,"Daunorubicin, Cytarabine, and Midostaurin in Treating Patients With Newly Diagnosed Acute Myeloid Leukemia",Alliance for Clinical Trials in Oncology,PHASE3,UNKNOWN,2008-04,,717.0,cytarabine; daunorubicin; midostaurin; placebo; dexamethasone acetate
NCT03320161,A Patient Consensus for the Research in Supportive Care in French Cancer Care Centers: the CyPRES Project,UNICANCER,N/A,COMPLETED,2018-10-10,2021-05-26,604.0,
NCT06416761,Genetics in the Progression of Nephropathies,Ospedale San Raffaele,N/A,RECRUITING,2006-05-19,2041-05-19,10000.0,genetic polymorphisms
NCT00379561,PSA-Activated PSA-PAH1 for Locally Recurrent Prostate Cancer,Sophiris Bio Corp,PHASE1,COMPLETED,2006-03,2008-07,24.0,PSA-Activated PSA-PAH1
NCT05406661,Registry of Local Recurrences After Breast-conserving Surgery,Universidade do Porto,N/A,NOT_YET_RECRUITING,2023-12-01,2026-12,3000.0,
NCT01173861,Effectiveness of a Cancer Center Based Physical Activity Intervention,East Carolina University,NA,COMPLETED,2010-03,2012-07,20.0,Physical activity counseling
NCT05361161,Transarterial Chemoembolization With Lipiodol in the Treatment of Initial Unresectable Gastric Cancer (GC),Gang Wu,PHASE2,UNKNOWN,2022-06-01,2025-12-01,60.0,Transarterial Chemoembolization
NCT05961761,Propranolol and Pembrolizumab in Advanced Soft Tissue Sarcoma Patients,Niels Junker,PHASE2,RECRUITING,2021-08-17,2028-12,80.0,Propranolol; Pembrolizumab
NCT02196961,Adjuvant Therapy of Completely Resected Merkel Cell Carcinoma With Immune Checkpoint Blocking Antibodies vs Observation,Prof. Dr. med. Dirk Schadendorf,PHASE2,COMPLETED,2014-06,2024-08-31,180.0,Nivolumab
NCT02947061,S1 Plus Docetaxel Versus Capecitabine Plus Docetaxel First-line Treatment in Patients With Advanced Breast Cancer,Chinese Academy of Medical Sciences,PHASE2,UNKNOWN,2015-04,2019-04,300.0,S1 plus Docetaxel; Capecitabine plus Docetaxel
NCT05555342,A Novel Method for Treating Lung Met w/Combo of Electric Fields & Rad Therapy: A Single-Arm,"University of California, Irvine",EARLY_PHASE1,COMPLETED,2023-01-03,2024-10-27,6.0,Irreversible electroporation (IRE) ablation; Radiation Therapy
NCT00874042,Dose Escalation Study of ARQ 197 in Combination With Gemcitabine in Adult Patients With Advanced Solid Tumors,"ArQule, Inc., a subsidiary of Merck Sharp & Dohme LLC, a subsidiary of Merck & Co., Inc. (Rahway, NJ USA)",PHASE1,COMPLETED,2009-03,2011-04,74.0,Treatment with ARQ 197 in combination with gemcitabine
NCT04846842,"A Study of Oral Gimatecan in Platinum-Resistant Epithelial Ovarian, Fallopian Tube or Peritoneal Cancer",Lee's Pharmaceutical Limited,PHASE2,UNKNOWN,2021-07-01,2023-07-01,46.0,Gimatecan
NCT04151186,A Clinical Study on the Safety and Efficacy of CAR-T Therapy for the TM4SF1- and EpCAM-positive Solid Tumors,suhaichuan,NA,UNKNOWN,2019-11-20,2021-11-20,72.0,TM4SF1- and EpCAM-positive chimeric antigen receptor T-cell therapy
NCT06012786,Myofascial Pain Syndrome in Patients With Breast Cancer-related Lymphedema,"Sultan Abdulhamid Han Training and Research Hospital, Istanbul, Turkey",N/A,COMPLETED,2023-08-30,2025-02-20,110.0,Diagnostic Criteria of Myofascial Pain Syndrome; The Physical Examination of Trigger Points and Pain-Pressure Threshold Measurement With an Algometer; Hand Grip Test; VAS; Quick DASH; Lymqol-Arm; Range of Motion of Shoulde Joint
NCT03924986,Tislelizumab Combined With Chemotherapy Versus Chemotherapy Alone in Recurrent or Metastatic Nasopharyngeal Cancer (NPC),BeiGene,PHASE3,COMPLETED,2019-03-27,2023-12-08,263.0,Tislelizumab; Placebo; Gemcitabine; Cisplatin
NCT05891470,To Explore the Benefits of the MonaLisa Touch® System in Gynaecological Cancer Patients Treated by (Chemo)-RT,Jules Bordet Institute,NA,UNKNOWN,2023-09-01,2026-02-02,136.0,MonaLisa Touch device; Vaginal dilatators
NCT03975270,Sintilimab in Combination With Nab-paclitaxel in Patients With HNSCC (Head and Neck Squamous Cell Carcinoma ),Shengyu Zhou,PHASE2,UNKNOWN,2019-07-20,2021-05-31,41.0,Sintilimab and Nab-paclitaxel
NCT02055170,Neoadjuvant Finasteride for Patients With Non-small Cell Lung Cancer,CancerCare Manitoba,PHASE2,TERMINATED,2014-06,2018-03-27,4.0,finasteride 5mg oral daily
NCT05110170,Efficacy and Safety of LY01005 in Patients With Breast Cancer Compared to ZOLADEX®,Luye Pharma Group Ltd.,PHASE3,COMPLETED,2020-10-15,2022-06-24,188.0,LY01005; ZOLADEX® 3.6 mg
NCT02094170,Global Positioning System (GPS) Exposure to Environments & Relations With Biomarkers of Cancer Risk,"University of California, San Diego",N/A,COMPLETED,2014-07,2017-09-29,601.0,
NCT00781170,Dose-Reduced Allogeneic Stem Cell Transplantation After Autologous High-Dose Chemotherapy in Patients With Multiple Myeloma,Universitätsklinikum Hamburg-Eppendorf,PHASE2,COMPLETED,2000-05,,20.0,allogeneic hematopoietic SCT
NCT00536770,A Study of Gemcitabine ± Erlotinib and DN-101 Versus Gemcitabine ± Erlotinib and Placebo in Patients With Advanced Pancreatic Cancer,Novacea,PHASE2,SUSPENDED,2007-09,,132.0,placebo + gemcitabine + erlotinib; Placebo + gemcitabine; calcitriol + gemcitabine; calcitriol + gemcitabine + erlotinib
NCT01906073,Nasal Fentanyl for Chronic Cancer Pain,Norwegian University of Science and Technology,PHASE3,WITHDRAWN,2017-01,2020-12,0.0,intranasal fentanyl spray; slow release morphine
NCT01798173,"Environmental, Metabolic and Nutritional Factors of Hepatocellular Carcinoma in Cirrhotic Patients",Centre Hospitalier Universitaire Dijon,NA,COMPLETED,2008-06-20,2018-01-25,1246.0,"Serum, plasma and DNA samples; Radiological exploration by CT scan or MRI"
NCT01141673,Development of a Diagnostic Kit for FLT3-ITD in Acute Myeloid Leukemia,Taipei Medical University WanFang Hospital,N/A,UNKNOWN,2010-06,2011-06,100.0,
NCT05585073,Factors Affecting the Difficulty of Laparoscopic D2 Lymph Node Dissection for Gastric Cancer,Fujian Medical University,N/A,COMPLETED,2022-01-01,2022-06-20,187.0,Whether lymph node dissection is qualified or not
NCT04922073,Practical Usability of EGFR Mutation Detection in ctDNA From Resectable NSCLC,Samsung Medical Center,N/A,UNKNOWN,2021-06-01,2022-03-31,150.0,
NCT05451173,Combining ICI With SBRT or HypoFrx-RT for ES NSCLC,Alexander Chi,PHASE1,UNKNOWN,2023-10-09,2025-12-31,83.0,Stereotactic body radiotherapy; Hypofractionated radiotherapy; Durvalumab
NCT05574673,Characterization of Epithelial Ovarian Cancer Patients in Terms of Homologous Recombination Phenotype,Nordic Society of Gynaecological Oncology - Clinical Trials Unit,N/A,RECRUITING,2022-12-01,2032-07-01,1000.0,Standard of care
NCT01600573,Pazopanib and Weekly Topotecan in Patients Recurrent Ovarian Cancer (TOPAZ),JSehouli,PHASE1,UNKNOWN,2012-05,2017-03,68.0,pazopanib in combination with weekly topotecan
NCT00923169,Part 2 of Phase 1 Study of GC1008 to Treat Advanced Melanoma (Part 2 Will Only Accept and Treat Patients With Advanced Malignant Melanoma),National Cancer Institute (NCI),PHASE1,COMPLETED,2006-07-09,2010-01-20,9.0,Anti-Transforming Growth Factor-beta (GC 1008)
NCT04813783,The Effect of Mucositis Care Training Given to Caregivers in Pediatric Leukemia Cases on Mucosal Barrier Damage,Ege University,N/A,COMPLETED,2021-05-01,2022-12-31,52.0,Mucositis care training to be given in line with MASCC / ISOO 2019
NCT05515783,68Ga-FAP-RGD PET/CT : Dosimetry and Preliminary Clinical Translational Studies,First Affiliated Hospital of Fujian Medical University,PHASE1,UNKNOWN,2022-05-01,2024-05-01,50.0,68Ga-FAP-RGD; 68Ga-FAP-RGD
NCT03329183,High-dose FOLFIRI in Advanced Colorectal Cancer Patients With Wild-type UGT1A1*6 and *28,Shanghai Changzheng Hospital,PHASE2,UNKNOWN,2019-03,2022-03,90.0,Irinotecan
NCT00337883,A Study of the Safety and Efficacy of Tarceva in Patients With First Relapse of Grade IV Glioma (Glioblastoma Multiforme),"Genentech, Inc.",PHASE2,COMPLETED,2003-07,2005-10,110.0,Erlotinib HCl (OSI-774)
NCT04993690,A Study of LP-168 in Participants With Relapse or Refractory B-Cell Lymphoma,Guangzhou Lupeng Pharmaceutical Company LTD.,PHASE1,RECRUITING,2021-07-06,2027-09-30,200.0,LP-168 tablet
NCT02929290,"Safety, Efficacy and Pharmacokinetic of BPI-9016M in Patients With c-Met- Dysregulated Advanced NSCLC","Betta Pharmaceuticals Co., Ltd.",PHASE1,UNKNOWN,2017-03-01,2024-11,80.0,BPI-9016M
NCT03714490,MRI Simulation-guided Boost in Short-course Preoperative Radiotherapy for Unresectable Rectal Cancer,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",PHASE2,UNKNOWN,2018-10-23,2025-09-30,200.0,SCPRT; CRT; CAPOX
NCT02973490,Transanal Tube Drainage in Endoscopic Submucosal Dissection of the Colorectal Tumor,Fudan University,NA,UNKNOWN,2017-01,2021-12,1200.0,Transanal Tube Drainage
NCT03963518,Immune-checkpoint Inhibitors and Surrogate Endpoints in Cancer Trials (SURROGATE-ICI),Institut Bergonié,N/A,COMPLETED,2017-01,2020-12,631.0,nivolumab monotherapy; nivolumab plus ipilimumab
NCT02421718,Standard Follow-up Program (SFP) for Lung Cancer Patients Treated With Radiotherapy or Chemoradiation,University Medical Center Groningen,N/A,RECRUITING,2013-03,2031-12,10000.0,Radiotherapy
NCT07598318,Study of Becotatug Vedotin Added to Standard Treatment for Advanced Bile Duct Cancer With EGFR Mutations,Sir Run Run Shaw Hospital,PHASE2,NOT_YET_RECRUITING,2026-05-20,2028-12-31,164.0,Becotatug Vedotin; Pucotenlimab; Gemcitabine; Cisplatin
NCT00365118,Treatment of Naevus Flammeus Using Intense Pulsed Light and Pulsed Dye Laser,Bispebjerg Hospital,NA,COMPLETED,2005-11,2007-12,,"Pulsed dye laser (Candela), Intense pulsed light (Palomar)"
NCT07779018,CD19/CD22 CAR-T Consolidation in R/R Aggressive B-Cell Lymphoma After Second-Line Therapy,Liping Dou,PHASE2,RECRUITING,2026-04-01,2028-03-01,30.0,CD22/CD19 CAR-T cell immunotherapy
NCT00059618,"PS-341 Plus Carboplatin in Platinum and Taxane Resistant Recurrent Ovarian Cancer, Primary Peritoneal Cancer, and Fallopian Tube Cancer",M.D. Anderson Cancer Center,PHASE1,COMPLETED,2003-04,2007-04,21.0,PS-341 (Bortezomib); Carboplatin
NCT07103018,A Clinical Study of KTX-2001 in Subjects With Metastatic Castration-Resistant Prostate Cancer (STRIKE-001),"K36 Therapeutics, Inc.",PHASE1,RECRUITING,2025-11-21,2028-09,144.0,KTX-2001; KTX-2001 + Darolutamide (NUBEQA®)
NCT04980118,A Nutritional Intervention and Physical Activity Program Reduce Body Weight in Women Newly Diagnosed With Breast Cancer.,Instituto de Investigación Hospital Universitario La Paz,NA,COMPLETED,2010-04,2012-04,56.0,Control group; Nutrition and physical activity group
NCT06219018,Effect of Honey For CIN II,Zuyderland Medisch Centrum,PHASE1,RECRUITING,2024-12-30,2027-12-01,60.0,Medical grade honey formulation (MGH) (L-Mesitran®)
NCT01326390,Impact of C-arm CT in Decreased Renal Function Undergoing TACE for Tx of Hepato-Cellular Carcinoma,Stanford University,N/A,TERMINATED,2010-05,2012-01,13.0,dTA/dBA C-arm fluoroscopy system with Dyna CT; DSA arteriogram- hepatic arteries; CO2 aortogram
NCT05126797,3D Printed Oral Stents for Patients With Head and Neck Cancer Receiving Radiation Therapy,M.D. Anderson Cancer Center,NA,TERMINATED,2017-10-11,2025-03-21,57.0,Questionnaire Administration; Stent Device
NCT06204497,The Safety and Efficiency of Stent-based Diverting Technique Versus Ileostomy in Rectal Cancer Patients,Sir Run Run Shaw Hospital,NA,COMPLETED,2024-01-31,2025-09-28,570.0,Stent-based Diverting Technique
NCT06916910,Analysis of Predictive Factors for Urinary Leakage After Partial Nephrectomy for Renal Hilum Tumors,First Affiliated Hospital of Fujian Medical University,N/A,ACTIVE_NOT_RECRUITING,2024-09-18,2025-09-18,200.0,
NCT03063710,Olaparib Expanded Access Program for BRCA Mutated Platinum Sensitive Relapsed High Grade Epithelial Ovarian Cancer Patients in Japan,AstraZeneca,N/A,NO_LONGER_AVAILABLE,,,,olaparib
NCT02854410,Dietary Nitrate on Salivary Flow for Nasopharyngeal Carcinoma Patients,Capital Medical University,NA,UNKNOWN,2016-08,2018-12,30.0,Sodium nitrate; sodium chloride
NCT02264210,Icotinib for Completed Resected IB NSCLC With EGFR Mutation,Sun Yat-sen University,PHASE2,COMPLETED,2015-01,2022-07,128.0,Icotinib
NCT07083310,"The Effect of Health Education Conducted Using Two Different Methods on Women's Knowledge of Breast Cancer, Health Beliefs, Mammography Self-Efficacy, and Participation in Screening Programs",Saglik Bilimleri Universitesi Gulhane Tip Fakultesi,NA,NOT_YET_RECRUITING,2025-07,2025-10,78.0,Health Education; Motivational Interviewing
NCT04011410,Hydroxychloroquine to Increase Tumor Suppressor PAR-4 Levels in Oligometastatic Prostate Cancer,Patrick Hensley,PHASE2,COMPLETED,2019-12-03,2024-03-08,20.0,Hydroxychloroquine Sulfate 200Mg Tab
NCT07543510,Low-Dose Bevacizumab and Atezolizumab Combined With TACE-HAIC in Unresectable Hepatocellular Carcinoma,"Third Affiliated Hospital, Sun Yat-Sen University",NA,NOT_YET_RECRUITING,2026-05-01,2029-08-31,38.0,TACE-HAIC + Atezolizumab + Low-dose Bevacizumab
NCT02660710,Rituximab Plus CHOP Chemotherapy for Diffuse Large B-cell Lymphoma,UNC Lineberger Comprehensive Cancer Center,PHASE2,COMPLETED,2016-03,2022-07-22,39.0,R-CHOP
NCT02023710,Bevacizumab Combined With Carboplatin Plus Paclitaxel Chemotherapy to Treat Metastatic Mucosal Melanoma,Peking University Cancer Hospital & Institute,PHASE2,UNKNOWN,2013-12,2017-12,182.0,Paclitaxel; Carboplatin; Bevacizumab
NCT05992610,Induction Treatment in SCC of the Head and Neck Region - Concomitant Chemotherapy and Low-dose Radiotherapy,Maria Sklodowska-Curie National Research Institute of Oncology,NA,UNKNOWN,2022-02-17,2026-03-31,40.0,Chemotherapy (carboplatin+paclitaxel) with concomitant low dose ionizing radiotherapy
